facture_id;devis_id;client_id;type_client;agence;date_facture;mois;exercice;date_echeance;delai_contractuel_j;montant_ht;taux_tva;montant_ttc;profil_paiement;date_paiement;statut_facture
FAC-00001;DEV-00006;CLI-0114;Particulier;Bordeaux;2022-08-12;2022-08;2022-2023;2022-08-27;15;408.99;0.1;449.89;Bon payeur;2022-08-24;Payée
FAC-00002;DEV-00008;CLI-0160;Particulier;Bordeaux;2022-08-22;2022-08;2022-2023;2022-09-06;15;5812.36;0.1;6393.6;Standard;2022-09-04;Payée
FAC-00003;DEV-00010;CLI-0089;Particulier;Bordeaux;2022-08-22;2022-08;2022-2023;2022-09-06;15;1332.2;0.1;1465.42;Bon payeur;2022-09-09;Payée
FAC-00004;DEV-00014;CLI-0098;Particulier;Bordeaux;2022-08-11;2022-08;2022-2023;2022-08-26;15;223.45;0.2;268.14;Bon payeur;2022-08-22;Payée
FAC-00005;DEV-00015;CLI-0042;Particulier;Bordeaux;2022-08-24;2022-08;2022-2023;2022-09-08;15;331.48;0.2;397.78;Standard;2022-10-08;Payée
FAC-00006;DEV-00026;CLI-0156;Particulier;Bordeaux;2022-08-22;2022-08;2022-2023;2022-09-06;15;3476.87;0.1;3824.56;Bon payeur;2022-09-16;Payée
FAC-00007;DEV-00028;CLI-0005;Particulier;Bordeaux;2022-08-22;2022-08;2022-2023;2022-09-06;15;262.87;0.2;315.44;Standard;2022-09-28;Payée
FAC-00008;DEV-00031;CLI-0196;Particulier;Bordeaux;2022-09-08;2022-09;2022-2023;2022-09-23;15;10167.81;0.1;11184.59;Standard;2022-10-01;Payée
FAC-00009;DEV-00034;CLI-0025;Syndic;Bordeaux;2022-08-18;2022-08;2022-2023;2022-10-17;60;8733.0;0.2;10479.6;Standard;2022-10-13;Payée
FAC-00010;DEV-00036;CLI-0052;Particulier;Toulouse;2022-10-03;2022-10;2022-2023;2022-10-18;15;3641.62;0.1;4005.78;Standard;2022-10-14;Payée
FAC-00011;DEV-00037;CLI-0036;Particulier;Toulouse;2022-09-19;2022-09;2022-2023;2022-10-04;15;422.16;0.1;464.38;Standard;2022-09-20;Payée
FAC-00012;DEV-00038;CLI-0158;Particulier;Bordeaux;2022-09-05;2022-09;2022-2023;2022-09-20;15;1418.22;0.2;1701.86;Bon payeur;2022-09-23;Payée
FAC-00013;DEV-00043;CLI-0127;Particulier;Toulouse;2022-10-11;2022-10;2022-2023;2022-10-26;15;2377.95;0.1;2615.74;Standard;2022-10-12;Payée
FAC-00014;DEV-00047;CLI-0114;Particulier;Bordeaux;2022-09-15;2022-09;2022-2023;2022-09-30;15;4741.05;0.2;5689.26;Bon payeur;2022-09-24;Payée
FAC-00015;DEV-00048;CLI-0095;Particulier;Bordeaux;2022-09-01;2022-09;2022-2023;2022-09-16;15;269.28;0.2;323.14;Standard;2022-09-18;Payée
FAC-00016;DEV-00052;CLI-0154;Particulier;Bordeaux;2022-10-03;2022-10;2022-2023;2022-10-18;15;222.49;0.2;266.99;Bon payeur;2022-10-04;Payée
FAC-00017;DEV-00054;CLI-0067;Professionnel;Bordeaux;2022-09-14;2022-09;2022-2023;2022-10-14;30;16749.18;0.2;20099.02;Standard;2022-09-29;Payée
FAC-00018;DEV-00055;CLI-0079;Particulier;Bordeaux;2022-10-13;2022-10;2022-2023;2022-10-28;15;196.89;0.2;236.27;Standard;2022-11-07;Payée
FAC-00019;DEV-00058;CLI-0109;Professionnel;Toulouse;2022-09-28;2022-09;2022-2023;2022-10-28;30;3135.61;0.2;3762.73;Standard;2022-10-29;Payée
FAC-00020;DEV-00059;CLI-0122;Particulier;Toulouse;2022-09-12;2022-09;2022-2023;2022-09-27;15;199.33;0.2;239.2;Standard;2022-09-13;Payée
FAC-00021;DEV-00060;CLI-0185;Particulier;Bordeaux;2022-09-23;2022-09;2022-2023;2022-10-08;15;544.21;0.2;653.05;Bon payeur;2022-10-05;Payée
FAC-00022;DEV-00061;CLI-0163;Particulier;Toulouse;2022-10-10;2022-10;2022-2023;2022-10-25;15;542.8;0.2;651.36;Standard;2022-10-11;Payée
FAC-00023;DEV-00062;CLI-0140;Syndic;Toulouse;2022-10-04;2022-10;2022-2023;2022-12-03;60;3465.25;0.2;4158.3;Standard;2022-12-01;Payée
FAC-00024;DEV-00064;CLI-0003;Professionnel;Toulouse;2022-09-14;2022-09;2022-2023;2022-10-14;30;5777.72;0.2;6933.26;Standard;2022-09-16;Payée
FAC-00025;DEV-00073;CLI-0008;Particulier;Toulouse;2022-10-07;2022-10;2022-2023;2022-10-22;15;736.14;0.1;809.75;Bon payeur;2022-10-10;Payée
FAC-00026;DEV-00077;CLI-0046;Syndic;Toulouse;2022-10-03;2022-10;2022-2023;2022-12-02;60;529.64;0.2;635.57;Bon payeur;2022-12-01;Payée
FAC-00027;DEV-00079;CLI-0166;Particulier;Bordeaux;2022-10-28;2022-10;2022-2023;2022-11-12;15;1575.87;0.2;1891.04;Bon payeur;2022-11-15;Payée
FAC-00028;DEV-00080;CLI-0047;Particulier;Bordeaux;2022-10-31;2022-10;2022-2023;2022-11-15;15;12318.47;0.1;13550.32;Standard;2022-11-13;Payée
FAC-00029;DEV-00081;CLI-0068;Particulier;Bordeaux;2022-10-05;2022-10;2022-2023;2022-10-20;15;5067.76;0.1;5574.54;Bon payeur;2022-10-06;Payée
FAC-00030;DEV-00084;CLI-0008;Particulier;Toulouse;2022-11-01;2022-11;2022-2023;2022-11-16;15;1276.18;0.2;1531.42;Bon payeur;2022-11-13;Payée
FAC-00031;DEV-00085;CLI-0170;Particulier;Toulouse;2022-10-20;2022-10;2022-2023;2022-11-04;15;3220.4;0.1;3542.44;Standard;2022-10-21;Payée
FAC-00032;DEV-00086;CLI-0131;Particulier;Toulouse;2022-11-07;2022-11;2022-2023;2022-11-22;15;733.99;0.1;807.39;Bon payeur;2022-11-28;Payée
FAC-00033;DEV-00092;CLI-0117;Particulier;Toulouse;2022-10-19;2022-10;2022-2023;2022-11-03;15;9970.87;0.1;10967.96;Standard;2022-11-14;Payée
FAC-00034;DEV-00093;CLI-0065;Particulier;Bordeaux;2022-11-15;2022-11;2022-2023;2022-11-30;15;209.36;0.2;251.23;Litigieux;2023-05-20;Payée
FAC-00035;DEV-00095;CLI-0218;Syndic;Bordeaux;2022-11-29;2022-11;2022-2023;2023-01-28;60;2400.78;0.2;2880.94;Lent;2023-04-08;Payée
FAC-00036;DEV-00097;CLI-0214;Particulier;Toulouse;2022-10-31;2022-10;2022-2023;2022-11-15;15;9611.5;0.1;10572.65;Bon payeur;2022-11-10;Payée
FAC-00037;DEV-00100;CLI-0069;Professionnel;Toulouse;2022-10-07;2022-10;2022-2023;2022-11-06;30;20556.28;0.2;24667.54;Standard;2022-11-23;Payée
FAC-00038;DEV-00103;CLI-0218;Syndic;Bordeaux;2022-11-07;2022-11;2022-2023;2023-01-06;60;463.19;0.2;555.83;Lent;2023-04-19;Payée
FAC-00039;DEV-00104;CLI-0098;Particulier;Bordeaux;2022-10-24;2022-10;2022-2023;2022-11-08;15;4733.78;0.1;5207.16;Bon payeur;2022-10-28;Payée
FAC-00040;DEV-00106;CLI-0126;Particulier;Bordeaux;2022-11-14;2022-11;2022-2023;2022-11-29;15;4643.37;0.1;5107.71;Standard;2022-12-23;Payée
FAC-00041;DEV-00107;CLI-0030;Particulier;Toulouse;2022-11-21;2022-11;2022-2023;2022-12-06;15;761.89;0.1;838.08;Lent;2022-12-03;Payée
FAC-00042;DEV-00109;CLI-0211;Particulier;Bordeaux;2022-10-17;2022-10;2022-2023;2022-11-01;15;1621.86;0.2;1946.23;Standard;2022-11-05;Payée
FAC-00043;DEV-00114;CLI-0121;Syndic;Toulouse;2022-10-31;2022-10;2022-2023;2022-12-30;60;517.36;0.2;620.83;Bon payeur;2023-01-11;Payée
FAC-00044;DEV-00115;CLI-0067;Professionnel;Bordeaux;2022-10-18;2022-10;2022-2023;2022-11-17;30;672.38;0.2;806.86;Standard;2022-11-03;Payée
FAC-00045;DEV-00116;CLI-0103;Particulier;Toulouse;2022-12-06;2022-12;2022-2023;2022-12-21;15;1397.3;0.2;1676.76;Standard;2022-12-22;Payée
FAC-00046;DEV-00118;CLI-0072;Particulier;Bordeaux;2022-11-07;2022-11;2022-2023;2022-11-22;15;3997.87;0.1;4397.66;Bon payeur;2022-11-09;Payée
